iter	MultiClass
0	1.576372073
1	1.551270068
2	1.51837071
3	1.489139628
4	1.448310456
5	1.421987189
6	1.377479568
7	1.349743196
8	1.323456652
9	1.288920771
10	1.270524561
11	1.244365707
12	1.212629119
13	1.191544031
14	1.170607749
15	1.143890184
16	1.114870611
17	1.086798193
18	1.06465679
19	1.046333508
20	1.020967849
21	1.004798681
22	0.9785794026
23	0.9582656557
24	0.9335190579
25	0.9185763141
26	0.8982182867
27	0.885673864
28	0.8717988328
29	0.8549251928
30	0.8426965665
31	0.8265483141
32	0.8170121633
33	0.8034385824
34	0.7892493999
35	0.7742440569
36	0.7570889045
37	0.743530358
38	0.7300717007
39	0.7188598131
40	0.7045750401
41	0.696144668
42	0.6832588729
43	0.6737330212
44	0.6615361238
45	0.6494439316
46	0.6403634278
47	0.6321742303
48	0.6240024311
49	0.6130822004
50	0.6003078608
51	0.5859400119
52	0.5735953461
53	0.5614481795
54	0.5559999162
55	0.5449855954
56	0.5364970141
57	0.5290046691
58	0.5191248806
59	0.5078186012
60	0.4971229606
61	0.4901579749
62	0.4806854857
63	0.4678641949
64	0.4590032355
65	0.4526961502
66	0.4445185259
67	0.4382463198
68	0.4315258604
69	0.4239010353
70	0.4177491083
71	0.4092462883
72	0.4023684846
73	0.3942090137
74	0.3845289251
75	0.377720349
76	0.3710258762
77	0.3661438629
78	0.3567011136
79	0.3501633587
80	0.3447653931
81	0.3381431068
82	0.3298628917
83	0.3222223154
84	0.3138416393
85	0.3054878568
86	0.3005996348
87	0.2967180837
88	0.2917338603
89	0.2865599269
90	0.2828307733
91	0.2780767601
92	0.2738079496
93	0.2689959641
94	0.2644597959
95	0.2595683917
96	0.2543471938
97	0.2502590047
