iter	Passed	Remaining
0	230	230311
1	305	152672
2	380	126436
3	455	113426
4	533	106159
5	608	100826
6	684	97120
7	759	94225
8	836	92142
9	912	90289
10	982	88301
11	1041	85772
12	1099	83480
13	1159	81645
14	1217	79942
15	1276	78491
16	1335	77221
17	1393	76010
18	1452	74969
19	1509	73975
20	1568	73130
21	1627	72332
22	1684	71572
23	1743	70889
24	1810	70613
25	1877	70350
26	1936	69782
27	1989	69070
28	2043	68414
29	2096	67791
30	2149	67190
31	2201	66605
32	2254	66065
33	2307	65555
34	2360	65078
35	2412	64611
36	2466	64184
37	2530	64050
38	2582	63638
39	2636	63264
40	2688	62879
41	2740	62505
42	2792	62150
43	2844	61812
44	2897	61488
45	2949	61170
46	3001	60864
47	3054	60575
48	3107	60307
49	3159	60039
50	3212	59771
51	3264	59508
52	3316	59267
53	3369	59034
54	3422	58802
55	3476	58610
56	3530	58413
57	3583	58206
58	3636	58002
59	3689	57801
60	3742	57605
61	3795	57414
62	3847	57220
63	3899	57029
64	3952	56848
65	4005	56683
66	4057	56503
67	4110	56331
68	4163	56177
69	4215	56008
70	4268	55847
71	4321	55695
72	4373	55541
73	4425	55383
74	4479	55241
75	4536	55151
76	4588	54998
77	4641	54860
78	4693	54719
79	4746	54588
80	4800	54462
81	4852	54328
82	4905	54193
83	4958	54070
84	5011	53943
85	5063	53809
86	5116	53689
87	5168	53564
88	5221	53451
89	5275	53342
90	5328	53231
91	5381	53110
92	5434	52996
93	5486	52884
94	5539	52766
95	5591	52657
96	5644	52544
97	5696	52429
98	5749	52323
99	5801	52212
100	5854	52107
101	5905	51989
102	5956	51874
103	6007	51760
104	6059	51651
105	6110	51538
106	6161	51423
107	6212	51310
108	6263	51200
109	6314	51089
110	6365	50985
111	6418	50886
112	6469	50779
113	6519	50671
114	6570	50566
115	6621	50461
116	6673	50361
117	6723	50256
118	6774	50152
119	6825	50055
120	6876	49956
121	6927	49857
122	6979	49763
123	7029	49663
124	7081	49567
